case_id,model_id,prediction_path,raw_geometry_match,raw_size_xyz,raw_spacing_xyz,standardized_geometry_match,status
Case1047,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1047.nii.gz,True,"[256, 256, 24]","[1.4452999830245972, 1.4452999830245972, 5.0]",True,PASS
Case1053,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1053.nii.gz,True,"[256, 256, 9]","[1.5625, 1.5625, 13.0]",True,PASS
Case1062,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1062.nii.gz,True,"[256, 256, 20]","[1.3280999660491943, 1.3280999660491943, 5.0]",True,PASS
Case1070,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1070.nii.gz,True,"[256, 256, 20]","[1.25, 1.25, 4.5]",True,PASS
Case1073,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1073.nii.gz,True,"[256, 256, 10]","[1.3672000169754028, 1.3672000169754028, 10.5]",True,PASS
Case1080,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1080.nii.gz,True,"[256, 256, 9]","[1.4844000339508057, 1.4844000339508057, 11.0]",True,PASS
Case2002,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case2002.nii.gz,True,"[264, 251, 6]","[1.328125, 1.328125, 10.0]",True,PASS
Case2007,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case2007.nii.gz,True,"[160, 166, 6]","[1.7708333730697632, 1.7708333730697632, 10.0]",True,PASS
Case2008,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case2008.nii.gz,True,"[225, 257, 5]","[1.328125, 1.328125, 10.0]",True,PASS
Case2017,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case2017.nii.gz,True,"[248, 257, 5]","[1.7708333730697632, 1.7708333730697632, 10.0]",True,PASS
Case2020,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case2020.nii.gz,True,"[160, 160, 6]","[1.7708333730697632, 1.7708333730697632, 10.0]",True,PASS
Case2031,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case2031.nii.gz,True,"[247, 255, 3]","[1.7708333730697632, 1.7708333730697632, 10.0]",True,PASS
Case2033,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case2033.nii.gz,True,"[225, 247, 7]","[1.328125, 1.328125, 10.0]",True,PASS
Case3004,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case3004.nii.gz,True,"[481, 478, 6]","[0.7290666699409485, 0.7290666699409485, 12.000001907348633]",True,PASS
Case3011,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case3011.nii.gz,True,"[489, 498, 2]","[0.7290666699409485, 0.7290666699409485, 23.000001907348633]",True,PASS
Case3012,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case3012.nii.gz,True,"[477, 477, 5]","[0.7290666699409485, 0.7290666699409485, 13.999999046325684]",True,PASS
Case3023,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case3023.nii.gz,True,"[481, 479, 3]","[0.7291666865348816, 0.7291666865348816, 23.0]",True,PASS
Case3026,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case3026.nii.gz,True,"[474, 471, 5]","[0.7290666699409485, 0.7290666699409485, 14.00000286102295]",True,PASS
Case3034,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case3034.nii.gz,True,"[462, 458, 4]","[0.7290666699409485, 0.7290666699409485, 23.000001907348633]",True,PASS
Case3038,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case3038.nii.gz,True,"[506, 508, 3]","[0.7421875, 0.7421875, 13.999996185302734]",True,PASS
Case3040,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case3040.nii.gz,True,"[498, 495, 3]","[0.7290666699409485, 0.7290666699409485, 22.999998092651367]",True,PASS
Case3044,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case3044.nii.gz,True,"[501, 499, 3]","[0.7290666699409485, 0.7290666699409485, 23.000001907348633]",True,PASS
Case5005,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case5005.nii.gz,True,"[256, 256, 6]","[1.3671875, 1.3671875, 10.0]",True,PASS
Case6001,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case6001.nii.gz,True,"[288, 288, 8]","[1.25, 1.25, 10.0]",True,PASS
Case6010,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case6010.nii.gz,True,"[288, 288, 7]","[1.25, 1.25, 10.0]",True,PASS
Case7005,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case7005.nii.gz,True,"[200, 256, 6]","[1.40625, 1.40625, 8.0]",True,PASS
Case8003,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case8003.nii.gz,True,"[192, 256, 8]","[1.3671875, 1.3671875, 11.250004768371582]",True,PASS
Case8011,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case8011.nii.gz,True,"[192, 256, 8]","[1.484375, 1.484375, 11.249999046325684]",True,PASS
Case8015,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case8015.nii.gz,True,"[206, 256, 8]","[1.3671875, 1.3671875, 10.0]",True,PASS
Case8019,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case8019.nii.gz,True,"[192, 256, 8]","[1.484375, 1.484375, 11.25]",True,PASS
Case8021,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case8021.nii.gz,True,"[192, 256, 8]","[1.484375, 1.484375, 11.699999809265137]",True,PASS
Case8022,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case8022.nii.gz,True,"[192, 256, 8]","[1.3671875, 1.3671875, 9.999998092651367]",True,PASS
Case8023,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case8023.nii.gz,True,"[192, 256, 8]","[1.484375, 1.484375, 11.699999809265137]",True,PASS
Case1002,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case1002.nii.gz,True,"[256, 256, 9]","[1.3672000169754028, 1.3672000169754028, 10.0]",True,PASS
Case1007,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case1007.nii.gz,True,"[256, 256, 24]","[1.3672000169754028, 1.3672000169754028, 4.0]",True,PASS
Case1009,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case1009.nii.gz,True,"[256, 256, 16]","[1.3672000169754028, 1.3672000169754028, 5.0]",True,PASS
Case1010,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case1010.nii.gz,True,"[256, 256, 12]","[1.3672000169754028, 1.3672000169754028, 9.0]",True,PASS
Case1021,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case1021.nii.gz,True,"[256, 256, 12]","[1.3672000169754028, 1.3672000169754028, 9.0]",True,PASS
Case1023,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case1023.nii.gz,True,"[256, 256, 21]","[1.6405999660491943, 1.6405999660491943, 5.0]",True,PASS
Case1029,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case1029.nii.gz,True,"[256, 256, 19]","[1.3280999660491943, 1.3280999660491943, 5.0]",True,PASS
Case1033,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case1033.nii.gz,True,"[256, 256, 20]","[1.3280999660491943, 1.3280999660491943, 5.0]",True,PASS
Case1040,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case1040.nii.gz,True,"[256, 256, 12]","[1.3672000169754028, 1.3672000169754028, 8.5]",True,PASS
Case1042,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case1042.nii.gz,True,"[256, 256, 7]","[1.3672000169754028, 1.3672000169754028, 16.5]",True,PASS
Case1045,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case1045.nii.gz,True,"[256, 256, 9]","[1.4844000339508057, 1.4844000339508057, 12.5]",True,PASS
Case1047,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case1047.nii.gz,True,"[256, 256, 24]","[1.4452999830245972, 1.4452999830245972, 5.0]",True,PASS
Case1053,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case1053.nii.gz,True,"[256, 256, 9]","[1.5625, 1.5625, 13.0]",True,PASS
Case1062,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case1062.nii.gz,True,"[256, 256, 20]","[1.3280999660491943, 1.3280999660491943, 5.0]",True,PASS
Case1070,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case1070.nii.gz,True,"[256, 256, 20]","[1.25, 1.25, 4.5]",True,PASS
Case1073,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case1073.nii.gz,True,"[256, 256, 10]","[1.3672000169754028, 1.3672000169754028, 10.5]",True,PASS
Case1080,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case1080.nii.gz,True,"[256, 256, 9]","[1.4844000339508057, 1.4844000339508057, 11.0]",True,PASS
Case2002,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case2002.nii.gz,True,"[264, 251, 6]","[1.328125, 1.328125, 10.0]",True,PASS
Case2007,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case2007.nii.gz,True,"[160, 166, 6]","[1.7708333730697632, 1.7708333730697632, 10.0]",True,PASS
Case2008,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case2008.nii.gz,True,"[225, 257, 5]","[1.328125, 1.328125, 10.0]",True,PASS
Case2017,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case2017.nii.gz,True,"[248, 257, 5]","[1.7708333730697632, 1.7708333730697632, 10.0]",True,PASS
Case2020,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case2020.nii.gz,True,"[160, 160, 6]","[1.7708333730697632, 1.7708333730697632, 10.0]",True,PASS
Case2031,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case2031.nii.gz,True,"[247, 255, 3]","[1.7708333730697632, 1.7708333730697632, 10.0]",True,PASS
Case2033,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case2033.nii.gz,True,"[225, 247, 7]","[1.328125, 1.328125, 10.0]",True,PASS
Case3004,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case3004.nii.gz,True,"[481, 478, 6]","[0.7290666699409485, 0.7290666699409485, 12.000001907348633]",True,PASS
Case3011,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case3011.nii.gz,True,"[489, 498, 2]","[0.7290666699409485, 0.7290666699409485, 23.000001907348633]",True,PASS
Case3012,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case3012.nii.gz,True,"[477, 477, 5]","[0.7290666699409485, 0.7290666699409485, 13.999999046325684]",True,PASS
Case3023,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case3023.nii.gz,True,"[481, 479, 3]","[0.7291666865348816, 0.7291666865348816, 23.0]",True,PASS
Case3026,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case3026.nii.gz,True,"[474, 471, 5]","[0.7290666699409485, 0.7290666699409485, 14.00000286102295]",True,PASS
Case3034,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case3034.nii.gz,True,"[462, 458, 4]","[0.7290666699409485, 0.7290666699409485, 23.000001907348633]",True,PASS
Case3038,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case3038.nii.gz,True,"[506, 508, 3]","[0.7421875, 0.7421875, 13.999996185302734]",True,PASS
Case3040,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case3040.nii.gz,True,"[498, 495, 3]","[0.7290666699409485, 0.7290666699409485, 22.999998092651367]",True,PASS
Case3044,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case3044.nii.gz,True,"[501, 499, 3]","[0.7290666699409485, 0.7290666699409485, 23.000001907348633]",True,PASS
Case5005,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case5005.nii.gz,True,"[256, 256, 6]","[1.3671875, 1.3671875, 10.0]",True,PASS
Case6001,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case6001.nii.gz,True,"[288, 288, 8]","[1.25, 1.25, 10.0]",True,PASS
Case6010,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case6010.nii.gz,True,"[288, 288, 7]","[1.25, 1.25, 10.0]",True,PASS
Case7005,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case7005.nii.gz,True,"[200, 256, 6]","[1.40625, 1.40625, 8.0]",True,PASS
Case8003,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case8003.nii.gz,True,"[192, 256, 8]","[1.3671875, 1.3671875, 11.250004768371582]",True,PASS
Case8011,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case8011.nii.gz,True,"[192, 256, 8]","[1.484375, 1.484375, 11.249999046325684]",True,PASS
Case8015,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case8015.nii.gz,True,"[206, 256, 8]","[1.3671875, 1.3671875, 10.0]",True,PASS
Case8019,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case8019.nii.gz,True,"[192, 256, 8]","[1.484375, 1.484375, 11.25]",True,PASS
Case8021,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case8021.nii.gz,True,"[192, 256, 8]","[1.484375, 1.484375, 11.699999809265137]",True,PASS
Case8022,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case8022.nii.gz,True,"[192, 256, 8]","[1.3671875, 1.3671875, 9.999998092651367]",True,PASS
Case8023,mosaic_fold0_random_init,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case8023.nii.gz,True,"[192, 256, 8]","[1.484375, 1.484375, 11.699999809265137]",True,PASS
